handle,text
Oprah,Woooow! Lot a B’wordin’ goin on!#fixmylife
Oprah,So true @IyanlaVanzant  you can’t heal what you won’t speak.#FixMyLife
Oprah,.@IyanlaVanzant don’t you just love our OWN viewers? Your fixes are teachable moments for so many. #FixMyLife Tonight 9/8c. https://twitter.com/monya_williams/status/961257255097241601 …
Oprah,"She’s more than a fixer, she’s a HEALER! #FixMyLife TONIGHT 9/8c. https://twitter.com/mbalifab89/status/961489676744916993 …"
Oprah,"We see you, Ayodele. LOVE that @IyanlaVanzant is changing the narrative. #FixMyLife season premiere TONIGHT 9/8c. https://twitter.com/ayodelecarnagie/status/967885757514944517 …"
Oprah,"YES, heart-pounding! @IyanlaVanzant has never been better. #FixMyLife Season Premiere TONIGHT 9/8c. https://twitter.com/ohheyreality/status/961265356915511296 …"
Oprah,"She’s more than a fixer, she’s a healer. The @IyanlaVanzant you know and love is BACK and she’s keeping it real. NEW season of Iyanla: Fix My Life, THIS Saturday March 3rd at 9/8c.pic.twitter.com/I1zZ30osZ2"
Oprah,"This time Trevor is the one asking the big questions! Catch my #SuperSoulConversations with @TrevorNoah, @JordanPeele, and @SalmaHayek on the WatchOWN app, on my Facebook this Sunday at 11am, or anytime with the SuperSoul Podcast:  http://apple.co/2EJqyBW pic.twitter.com/sIxcZWlGyL"
Oprah,Another SWEET year! Congratulations to Queen Sugar for winning Television Show of the Year Drama for a second year in a row at American Black Film Festival Honors! #ABFFHonors #GimmeSugarpic.twitter.com/0gBuQwjnYS
Oprah,Said it tonight and I’ll say it again...@JimmyKimmel wish you were my little brother! #KIMMEL on @ABC tonight.pic.twitter.com/4VfRXmqBLy
Oprah,"Thank you for your kind,
 words @TheEllenShow. That was a hoot of a time with @RWitherspoon and @TiffanyHaddish!pic.twitter.com/AVS8dXZwVx"
Oprah,I bet y’all know more about me than my two competing best friends @TheEllenShow and @RWitherspoon! Watch this...pic.twitter.com/eRkWDrzSCl
Oprah,"George and Amal, I couldn’t agree with you more. I am joining forces with you and will match your $500,000 donation to ‘March For Our Lives.’  These inspiring young people remind me of the Freedom Riders of the 60s who also said we’ve had ENOUGH and our voices will be heard."
Oprah,"No more apologies for women wanting more. @RWitherspoon, @MindyKaling, and I discuss TODAY on a NEW #SuperSoul Conversation, streaming on my Facebook page at 11am ET / 8am PT.pic.twitter.com/ppjVlyvXwG"
Oprah,Just saw it with Stedman. It’s Phenomenal!! Layers and layers of it. Wakunda ForEveeeerrrr! #BlackPanther
Oprah,Thanks @WSJMag for spreading the joy.  http://on.wsj.com/2BVKWKF pic.twitter.com/a6hBxV865t
Oprah,"It’s book club time! Newest pick: An American Marriage by @Tayari Jones. Perfect book to read along with a friend. So juicy, you’re going to want to talk to someone about it!  http://www.amazon.com/oprahsbookclub pic.twitter.com/dCiBSnk6p7"
Oprah,Watching the #SuperBlueBloodMoon !
Oprah,Watching #JayZ vibing with @VanJones68 #VanJonesShow on CNN. Both doing a great job!
Oprah,"Thank you OWN staff, OWNERs & OWN Ambassadors for a lot of pre-birthday happiness!pic.twitter.com/FdSwWFLvey"
Oprah,Thanks @InStyle and @laurabrown99 for making this a funtastic experience.pic.twitter.com/Bn0OtBCuPI
Oprah,Look at what team work did for the 101freeway. Thanks @CaltransD5 and every crew that made this happen.pic.twitter.com/238jhC9hvD
Oprah,".@RuPaul serves up serious AND funny, talking about his colorful life in and out of drag. NEW SuperSoul Conversation streaming on my Facebook page, TOMORROW 11am/10c.pic.twitter.com/h6WiPDeWsG"
Oprah,"This I did Monday night before the mudslides hit. #TimesUp conversation with @RWitherspoon, @shondarhimes @americaferrera, @TraceeEllisRoss, Natalie Portman, Kathleen Kennedy, and Nina Shaw. Hope you’ll watch tomorrow on @CBSSunday.pic.twitter.com/dc9BXO3MAm"
Oprah,1st day back at home. Still smelling smoke.But grateful to have a home to come to and forever grateful to firefighters. #ThomasFire
Oprah,.@djkhaled Welcome to #WWFreestyle. Can’t wait to see you #blessup this program 
Oprah,"Mrs. Which has created a #WrinkleInTime  Welcome to 2018, warriors.pic.twitter.com/BCeiJOIJB5"
Oprah,Fraud alert!pic.twitter.com/WACnDs04Bc
Oprah,So looking forward to you all seeing it. Bravo @avapic.twitter.com/UqUqPrjr4c
Oprah,After the harrowing week of fire this was joy to  wakeup and look forward to.   https://mobile.twitter.com/TIME/status/942748797310066689/video/1 …
Oprah,God bless every firefighter and their families. fighting 3 weeks straight. still going. Imagine their exhaustion!#ThomasFire
Oprah,Still praying for our little town. Winds picked up this morning creating a perfect storm of  bad for firefighters. #peacebestill 
Oprah,What an honor. https://twitter.com/goldenglobes/status/941139077390155776 …
Oprah,"Peace be Still, is my prayer tonight. For  all the fires raging thru my community and beyond. #peacebestill"
Oprah,Celebrating our 7th Graduation and 10th Anniversary at OWLAG! #ProudMomOpic.twitter.com/1Vd36errI1
Oprah,Essence exec turned B&B mogul Monique Greenwood is redefining hospitality in @OWNTV's NEW series #CheckedInn! Tonight 10/9c. @GetSpectrum.pic.twitter.com/sV8DW63U4u
Oprah,"Here it is! The brand-new #WrinkleInTime trailer. See you in theaters, March 9th. With love, Mrs. Which pic.twitter.com/RHia4jFXx3"
Oprah,NEW #WrinkleInTime trailer TONIGHT during the American Music Awards. Who’s ready to tesser with me!? pic.twitter.com/SB4lcZzqiw
Oprah,"Good morning, SuperSoulers! Dr. @BreneBrown shows how even when we fall, we can still RISE STRONG. So many tweetable moments! #SuperSoulSunday https://www.pscp.tv/w/1BdxYMXynAExX "
Oprah,Roderick became a hero. Thank you @IyanlaVanzant #FixMyLife
Oprah,".@IyanlaVanzant, you’ve done it AGAIN - healing for so many. #FixMyLife Season Finale TONIGHT at 9pm.pic.twitter.com/XttPTu3Pod"
Oprah,Tessering into your timeline with our brand new poster for #WrinkleinTime! Otherworldly! And tune into @AMAs this Sunday to catch our new trailer. #BeAWarriorpic.twitter.com/KKZg91m80o
Oprah,Big day for you@DeVonFranklin . Hope #TheStarMovie does well!pic.twitter.com/NauUbUO7Kn
Oprah,There's a reason we kinda look alike...I'm playing her. Meet Deborah! #TheStarMovie is joy and laughter for the whole family. In theaters everywhere TOMORROW.  http://bit.ly/TheStarTickets pic.twitter.com/EL4ren8AZw
Oprah,"Been tryin 2 find words 2 describe how this show makes me feel. It feels like ministry! It renews me, reaffirms me, reassures & resurrects me. Amen! Thank u @ava #QueenSugar"
Oprah,"Sweeties, don’t go anywhere! 30 more mins. of the finale, then I’m talking all things #QUEENSUGAR with Ava & the cast. So much to discuss!pic.twitter.com/5m5Rl3dx9X"
Oprah,Here we go Sugar Fans!  #GimmeSugar #QUEENSUGAR
Oprah,"1hr to #QUEENSUGAR finale.
Can hardly wait for y’all tosee it.
Join me ,@Ava and cast afterwards."
Oprah,SPECIAL TIME 9/8c. TONIGHT! Screened tonight’s finale with #QUEENSUGAR fans. The Bordelons had me boohooing! Grab your tissues & get ready.pic.twitter.com/ZPZvAsDkFN
Oprah,"NEW time, 9/8c. #QUEENSUGAR Season Finale tomorrow. It’s EVERYTHING! Then, @Ava and I are talking all things Sugar with the entire cast. pic.twitter.com/EyMvWOH6b7"
Oprah,"My conversation with former VP @JoeBiden is NOW on our #SuperSoul Podcast. If you missed it on OWN, listen today:  http://ApplePodcasts.com/Oprah pic.twitter.com/k9bPuVAWCd"
Oprah,Trying something new! @SuperSoulSunday is LIVE on Twitter! Former Vice President @JoeBiden is on today’s #SuperSoulSunday. https://www.pscp.tv/OWNTV/1vAGRMmrYrrKl …
Oprah,This is  just the saddest thing. The cycle being repeated. Fatherless sons #FixMyLife.
Oprah,This would be a good time to order.. thank you @ShakaSenghor. Thanks for sharing your truth.pic.twitter.com/oU1LsLsL98
Oprah,All these half grown boy-men. Now talking to @ShakaSenghor #FixMyLife
Oprah,I’ll be there to support @DeVonFranklin #MamaO  https://twitter.com/devonfranklin/status/929137154227425286 …
Oprah,Watching @IyanlaVanzant #FixMyLife
Oprah,Former VP @JoeBiden joins me TOMORROW for a NEW #SuperSoul exclusive. Join us at 11am on OWN or streaming LIVE on my Facebook page!pic.twitter.com/9SChGNH0oq
Oprah,Sexiest Man Alive 2017: Kofi Siriboe Quotes  @kofisiriboe Congrats I love that you’re sexy and KIND! #GimmeSugar http://people.com/tv/kofi-siriboe-sexiest-man-alive-countdown-2017/ …
Oprah,“With all due respect Darla you’re smarter than that”.  Things can never be the same that’s for sure.#QueenSugar
Oprah,"Ok ready ? Set. #GimmeSugar y’all!
Here we go."
Oprah,"Everyone learns the truth about Blue.   Last episode before next week’s BIG season finale. TONIGHT, 10/9c. #QUEENSUGARpic.twitter.com/HSjCfV8ufI"
Oprah,"Taping the Season 2 Finale Special with a studio full of #QUEENSUGAR Sweeties! So much to talk about – next Wednesday, 9/8c. pic.twitter.com/YYG1YMbs1f"
Oprah,Look at that smile - @HarryConnickJR loved my tomato soup with a twist! #OThatsGoodpic.twitter.com/J5u4UNuSY1
Oprah,"O, That’s Good! Oh, Harry’s FUNNY! Shared my new soups and lots of laughs on @harrytv airing today!pic.twitter.com/yYdNYui2xc"
Oprah,"More AHAs like this one in #WisdomOfSundays. If you missed this special episode on OWN, listen on the podcast today!  http://ApplePodcasts.com/Oprah pic.twitter.com/1Bs5jaXpgf"
Oprah,"""Think Higher feel deeper"".. #SuperSoulSunday #WisdomOfSundays"
Oprah,Don't forget you can download all these Aha moments  on a free Apple podcast. #SuperSoulConversations
Oprah,Turn your expectation to appreciation that's another great aha. Thanks @TonyRobbins #WisdomOfSundays #SuperSoulSunday
Oprah,“We are Vibrational beings. You cannot have what you’re not willing to become vibrationally” my biggest aha today. #SuperSoulSunday
Oprah,.@AmyPurdyGurl is a breathing example of mind over circumstance!#SuperSoulSunday
Oprah,Happy SuperSoul Sunday everyone. Hope u enjoyed that extra hr. Getting ready for a bunch of AHA moments coming  up on #SSS. On OWN +Facebook
Oprah,"I truly don’t understand complaining about curfew , isn’t it better than not seeing the sky behind bars. #Released"
Oprah,“You don’t have to do anything about it right now...” just know it! #FixMyLife
Oprah,Watching #FixMyLife !
Oprah,"Thanks for making #WisdomofSundays a best-seller! Go inside the book this Sunday. Gary. Maya. Eckhart. Brené. Many, many more. Tomorrow 11ampic.twitter.com/CbszAZrdrg"
Oprah,Seeing double?! FUN at the @O_Magazine Favorite Things Reveal party! pic.twitter.com/2zNKnHgz1l
Oprah,My FAVORITE things! That time of year again. Something for everyone! I love sharing this gift guide with you all.   http://oprah.com/favoritethings pic.twitter.com/IyLSvq5pF0
Oprah,"YES @KaceyBonner! “This show breaks my heart, yet keeps it full and makes me FEEL SEEN. That is special indeed."" See you tonight, Sweeties pic.twitter.com/85GL8Qx5sV"
Oprah,"This marital show with @IyanlaVanzant, should be mandatory for couples in trouble. WoW! #FixMyLife"
Oprah,"“Go to the mirror & slap the first person that shows up” If @IyanlaVanzant didn’t wake you up last week, she will tonight #FixMyLife 9/8c.pic.twitter.com/eOcuysjHun"
Oprah,.@KellyRipa Thanks for the Tequila basket. Ready for some drankin’this weekend?!pic.twitter.com/k36tCEf6na
Oprah,I knew Rachael was the real deal when she was on my show 12 years ago. Loved celebrating the 2000th episode of @RachaelRayShow. Watch today!pic.twitter.com/DPfu5oRXPz
Oprah,#QueenSugar is so damn necessary!!!!!!
Oprah,Whoa glad I wasn’t at that table. #tension #QueenSugar
Oprah,Lordy yesss  “ call you later”. #QueenSugar
Oprah,"“You are who I want,know that” don’ty’all love clarity. #QueenSugar"
Oprah,#GimmeSugar y’all #QueenSugar rollcall!
Oprah,"You CAN NOT miss this episode. Must-see #QUEENSUGAR tonight, 10/9c. So much to talk about. Tweet tweet.pic.twitter.com/q4ehVQIfyv"
Oprah,.@EckhartTolle’s SuperSoul Conversation is a soothing balm for our times and worth your time to listen:  http://ApplePodcasts.com/OprahSuperSoul pic.twitter.com/z8PwOwq5lj
Oprah,Why am I going inside the most notorious state penitentiary in the country? Find out TONIGHT. New #60Minutes.pic.twitter.com/hYYZHNCyqR
Oprah,.@IyanlaVanzant I think this will be a wake-up call for so many women in broken relationships. Important #FixMyLife TONIGHT at 9/8c.pic.twitter.com/RvhUpaGpu3
Oprah,"All NEW episodes of #SuperSoulSunday premiere TOMORROW, starting with most profound spiritual teacher, @EckhartTolle.pic.twitter.com/euvU0C4U4U"
Oprah,Who’s rooting for Nova and DuBois? You do not want to miss tonight’s episode. New #QUEENSUGAR at 10/9c.pic.twitter.com/gcgtuFZwbU
Oprah,"Love that Ryan had his own AHA moment with #WisdomOfSundays! Had a good time with these two today
@LiveKellyRyan. Fun!pic.twitter.com/BERm13Dgy3"
Oprah,I’m on @CBSThisMorning sharing all about my new book #WisdomOfSundays. Lots of “AHAs” and “Mhmms” today!pic.twitter.com/Ys5tQPDWdm
Oprah,"Today’s the day! My new book, The Wisdom of Sundays, is NOW available everywhere. I hope you'll pick up a copy and share it today.pic.twitter.com/TSICE3hQJE"
Oprah,"Tonight’s the night, Sweeties! New #QUEENSUGAR 10/9c. Who’s watching? pic.twitter.com/pcbZZ5Y5jz"
Oprah,".@DeepakChopra and I are back with our final NEW 21-day meditation, Making Every Moment Matter Register for FREE:  http://Oprah.com/meditation pic.twitter.com/pwxY44pBW4"
Oprah,Who’s watching #Released?
Oprah,The difference between coping and healing. Brilliant analogy @IyanlaVanzant #FixMyLife
Oprah,Walking thru the pain of sexual abuse as a boy @IyanlaVanzant doing some fixin’ tonight! #FixMyLife
Oprah,"""It’s just so unexplainable to finally be able to have freedom.” NEW #ReleasedOWN tonight 10/9c. Hope you’ll join us.pic.twitter.com/yflWG8jCM8"
Oprah,Guess they need that marriage counseling. Don’t u love Darla  standing up for herself?#QueenSugar
Oprah,It's about to go down! Get ready y'all #QUEENSUGAR 2nd nite of mid season premiere! #GimmeSugar  So exciting!!!
Oprah,Almost #QueenSugar #GimmeSugar time!
Oprah,"We've only just begun. #QUEENSUGAR premiere continues TONIGHT on its regular night, 10/9c on @OWNTV.pic.twitter.com/R9TxkPRQjl"
Oprah,Ellen & @Oprah Take Over a Grocery Store  https://www.ellentube.com/video/ellen-oprah-take-over-a-grocery-store.html … - this is SUPER FUN!!
Oprah,"Always a good time with Ellen, and Nancy & Kevin at Entertainment Tonight. Catch me on @TheEllenShow today and @etnow tonight. Fun!pic.twitter.com/0ot34Dd2aI"
Oprah,5 minutes to #GimmeSugar .. who's joining us for mid season premiere? #QueenSugar
Oprah,It’ll be so good to spend time with our #QUEENSUGAR family tonight. See you at 10/9c. Two-night premiere.pic.twitter.com/6mZjJWqaLE
Oprah,"Psalms 61:2... when my heart is overwhelmed, lead me to the rock that is higher than I. #prayingforlasvegas"
Oprah,"Went to bed #prayingforlasvegas , my heart overwhelmed. Woke up reminded of this Bible verse. Psalms 61:2"
Oprah,Retweet if you are watching #ReleasedOWN @OWNTV!
Oprah,"Teach! @IyanlaVanzant ""We wear the mask that grins and lies .. it hides our cheeks and shades our eyes"" P.L. Dunbar #FixMyLife"
Oprah,I just love this moment when the aha-aha shows up.  #FixMyLife
Oprah,"""She did the time with you. The only difference is she had a key to her cell."" ~Iyanla #FixMyLife"
Oprah,".@IyanlaVanzant is back, putting the REAL in reality. A whole new season of #FixMyLife starts TONIGHT at 9/8cpic.twitter.com/1mo7FO6gkR"
Oprah,"Redemption is possible. We all deserve a second chance. Don’t miss the SERIES PREMIERE of Released TONIGHT on @OWNTV, 10/9c. #ReleasedOWNpic.twitter.com/JmH9J0FXdQ"
Oprah,"More of this, please. http://abcnews.go.com/US/man-removes-nazi-swastika-tattoos-friendship/story?id=49496501 …"
Oprah,Never been to a cotillion.This was all new to me. #GreenLeaf
Oprah,Roll call finale. Present#GREENLEAF
Oprah,"When asked how Donald Trump is doing as president, answers range from “every day I love him more and more” to “he’s a horrible president.”pic.twitter.com/UzY6tRGIJP"
Oprah,"""We've got to do the best we can and celebrate with gratitude a life well lived."" @SenJohnMcCain @60Minutes"
Oprah,First moment on @60Minutes ! Been watching for 50 years now on it. Pretty cool.pic.twitter.com/y1J2LsjMKy
Oprah,"BIG night. My FIRST segment on @60Minutes — watch with me. Tweet, tweet. #60minutespic.twitter.com/QUdsZGZDlk"
Oprah,"The lessons will be limitless with a double dose of #MASTERCLASS. Two of music’s legends are on - @Usher & @MsGladysKnight, TONIGHT at 9/8c.pic.twitter.com/6REUMRsvQl"
Oprah,Sterling K. Brown just finished his best actor speech backstage after getting cut off during CBS' live telecast (Watch) #Emmyspic.twitter.com/0X7KiZrkIj
Oprah,"Key word ""respect"" @SHAQ talking about relationship with @kobebryant impressive! #Masterclass"
Oprah,"So loving you  @SHAQ on  ""2  degrees to touch my cheese"" #masterclass"
